word	syllables
милиционер	ми ли ци о нер
много	мно го
молния	мол ни я
монарх	мо нарх
монархизм	мо нар хизм
море	мо ре
мочь	мочь
мрак	мрак
мужество	му жест во
мужской	муж ской
музей	му зей
музыка	му зы ка
мускул	мус кул
мутант	му тант
мысль	мысль
мышление	мыш ле ни е
мясо	мя со
мяч	мяч
наборщик	на бор щик
фтор	фтор
хлор	хлор
литий	ли тий
олово	о ло во
кремний	крем ний
углерод	уг ле род
бор	бор
кальций	каль ций
натрий	 натрий
калий	ка лий
марганец	мар га нец
свинец	сви нец
ртуть	ртуть
неон	не он
железо	же ле зо
сера	се ра
фосфор	фос фор
бериллий	бе рил лий
медь	медь
цинк	цинк
никель	ни кель
иридий	и ри дий
таллий	тал лий
йод	йод
надо	на до
намёк	на мёк
наречие	на ре чи е
небыдло	не быд ло
негодяй	не го дяй
неказистый	не ка зи стый
нефть	нефть
низ	низ
новорождённый	но во рож дён ный
новостройка	но во строй ка
носок	но сок
ночь	ночь
ноябрь	но ябрь
нуль	нуль
обезьяна	о безь я на
обечайка	о бе чай ка
образ	об раз
общность	общ ность
ограничение	о гра ни че ни е
огрызок	о гры зок
одежда	о деж да
озеро	о зе ро
октябрь	ок тябрь
окупаться	о ку пать ся
опасность	о пас ность
оружие	о ру жи е
осень	о сень
оскорбить	о скор бить
остальной	ос таль ной
от	от
ответ	от вет
ошибка	о шиб ка
палатка	па лат ка
палец	па лец
папа	па па
паром	па ром
пердеть	пер деть
перезвонить	пе ре зво нить
перл	перл
печень	пе чень
пиздить	пиз дить
пингвин	пинг вин
писатель	пи са тель
пить	пить
плотник	плот ник
плохо	пло хо
пляс	пляс
подбородок	под бо ро док
подвиг	под виг
подонок	по до нок
подросток	под ро сток
показывать	по ка зы вать
политик	по ли тик
понимать	по ни мать
поп	поп
попугай	по пу гай
португальский	пор ту галь ский
порутать	по ру тать
селен	се лен
скандий	скан дий
хром	хром
рубидий	ру би дий
постепенно	по сте пен но
мышьяк	мышь як
право	пра во
бром	бром
предмет	пред мет
предприниматель	пред при ни ма тель
пример	при мер
принципал	прин ци пал
причина	при чи на
произвольный	про из воль ный
простой	про стой
кобальт	ко бальт
психушка	пси хуш ка
публика	пуб ли ка
пылесос	пы ле сос
пять	пять
работа	ра бо та
работать	ра бо тать
радуга	ра ду га
раз	раз
разновидность	раз но вид ность
раненый	ра не ный
растение	ра сте ни е
расцветать	рас цве тать
рачительный	ра чи тель ный
революционер	ре во лю ци о нер
река	ре ка
ресторан	рес то ран
рогожа	ро го жа
рок	рок
рот	рот
рука	ру ка
рыба	ры ба
рыть	рыть
ряд	ряд
сад	сад
санки	сан ки
сахар	са хар
сбоку	сбо ку
референтный	ре фе рент ный
светофор	све то фор
секретарь	се кре тарь
секс	секс
сентябрь	сен тябрь
сигарета	си га ре та
сила	си ла
синий	си ний
ситуационно	си ту а ци он но
слабый	сла бый
слева	сле ва
следствие	след стви е
смерть	смерть
сметана	сме та на
снабжать	снаб жать
снайпер	снай пер
солдат	сол дат
сон	сон
соотечественник	со о те чес твен ник
сорока	со ро ка
социализм	со ци а лизм
спать	спать
спор	спор
спорный	спор ный
сравнение	срав не ни е
ставень	ста вень
стадо	ста до
сталь	сталь
стена	сте на
стенгазета	стен га зе та
стерва	стер ва
сторона	сто ро на
сторонник	сто рон ник
страз	страз
строка	 строка
субъект	субъ ект
сука	су ка
сумбурный	сум бур ный
сутки	сут ки
существительное	су ще стви тель но е
сын	сын
сыр	сыр
тарелка	та рел ка
театр	те атр
тезис	те зис
терроризм	тер ро ризм
тётка	тёт ка
тибетский	ти бет ский
трафарет	тра фа рет
три	три
троллейбус	трол лей бус
тротуар	тро ту ар
трюизм	трю изм
тужурка	ту жур ка
тусовка	ту сов ка
тьма	тьма
тюрьма	тюрь ма
убаюкивать	у ба ю ки вать
убегать	у бе гать
убежать	у бе жать
убивать	у би вать
убийство	у бий ство
убийца	у бий ца
убыток	у бы ток
узенький	у зень кий
украина	у кра и на
ум	ум
умирающий	у ми ра ю щий
умопомрачительный	у мо по мра чи тель ный
умственный	ум ствен ный
универсам	у ни вер сам
ус	ус
успех	у спех
успешный	ус пеш ный
утешить	у те шить
утка	ут ка
утконос	ут ко нос
утонуть	у то нуть
утопия	у то пи я
утро	ут ро
утёс	у тёс
ухудшение	у худ ше ни е
уценить	у це нить
пиздец	пиз дец
учитель	у чи тель
учуять	у чу ять
уют	у ют
фабрика	фа бри ка
факел	фа кел
фарш	фарш
феодализм	фе о да лизм
фея	фе я
фи	фи
финский	фин ский
фирма	фир ма
флирт	флирт
фонарь	фо нарь
фотограф	фо то граф
Франция	Фран ци я
фрукт	фрукт
фурри	фур ри
фуррь	фуррь
фюзеляж	фю зе ляж
хакер	ха кер
халат	ха лат
хам	хам
хворост	хво рост
хвост	хвост
хлеб	хлеб
холера	хо ле ра
холодильник	хо ло диль ник
хрипеть	хри петь
хромать	хро мать
хуйня	хуй ня
царь	царь
цвет	цвет
цветок	цве ток
цена	це на
чавканье	чав кань е
час	час
черта	чер та
четверг	чет верг
четыре	че ты ре
читатель	чи та тель
читать	чи тать
чтить	чтить
чугун	 чугун
шаг	шаг
шайба	шай ба
шаман	ша ман
шампунь	шам пунь
шантаж	шан таж
шар	шар
шарада	ша ра да
шаркать	шар кать
шарф	шарф
шасси	шас си
шахматы	шах ма ты
шахта	шах та
швартоваться	швар то вать ся
швед	швед
швырять	швы рять
шевелиться	ше ве ли ться
шерсть	шерсть
шесть	шесть
шило	ши ло
шипение	ши пе ни е
ширинка	ши рин ка
шишка	шиш ка
щётка	щёт ка
эвакуация	э ва ку а ци я
эвкалипт	эв ка липт
эволюция	э во лю ци я
эврика	эв ри ка
эгоист	э го ист
эйфория	эй фо ри я
экватор	эк ва тор
экзаменатор	эк за ме на тор
экземпляр	эк зем пляр
экипаж	э ки паж
эксцентричный	экс цен трич ный
электровоз	э лек тро воз
эмбарго	эм бар го
эмоция	э мо ци я
эротика	э ро ти ка
эсперанто	эс пе ран то
эссе	эс се
юноша	ю но ша
ядовитый	я до ви тый
яичко	я ич ко
яичник	я ич ник
якорь	я корь
янки	ян ки
японец	я по нец
ярмарка	яр мар ка
ясли	яс ли
ястреб	яст реб
ящерица	я ще ри ца
ящик	я щик
фото	фо то
мати	ма ти
кислота	кис ло та
местный	мест ный
шкаф	шкаф
полк	полк
авангард	а ван гард
фотогальванический	фо то галь ва ни чес кий
университет	у ни вер си тет
марля	мар ля
использовать	ис поль зо вать
бинарный	би нар ный
фактический	фак ти чес кий
разрешение	раз ре ше ни е
польза	поль за
греческий	гре чес кий
масло	мас ло
дно	дно
Дно	Дно
цивилизация	ци ви ли за ци я
жестокость	жес то кость
информация	ин фор ма ци я
наслаждаться	на слаж дать ся
пианино	пи а ни но
вор	вор
житель	жи тель
любовь	лю бовь
викарий	ви ка рий
неразбериха	не раз бе ри ха
кий	кий
колот	ко лот
пират	пи рат
разбойник	раз бой ник
роман	ро ман
иск	иск
дробь	дробь
лоб	лоб
вишня	виш ня
крыжовник	кры жов ник
черешня	че реш ня
щенок	ще нок
клён	клён
водоём	во до ём
мышь	мышь
гора	го ра
кассирша	кас сир ша
туча	ту ча
статуя	ста ту я
капля	кап ля
оно	о но
корова	ко ро ва
лист	лист
палка	пал ка
делис	де лис
зверь	зверь
пёс	пёс
вошь	вошь
чадо	ча до
благо	бла го
жилище	жи ли ще
нос	нос
червяк	чер вяк
плод	плод
учёба	у чё ба
фазенда	фа зен да
аббат	аб бат
аббатиса	аб ба ти са
Пасха	Пас ха
вино	ви но
зло	зло
остриё	ост ри ё
плечо	пле чо
имя	и мя
здоровье	здо ро вье
образование	об ра зо ва ни е
дезертир	де зер тир
баб	баб
омбудсмен	ом будс мен
свежий	све жий
панна	 панна
лучи	лу чи
выразительность	вы ра зи тель ность
скарб	скарб
сум	сум
лан	лан
монахиня	мо на хи ня
монастырь	мо нас тырь
зелёный	зе лё ный
чёрный	чёр ный
оранжевый	о ран же вый
короткий	ко рот кий
свет	свет
липень	ли пень
другой	дру гой
планета	пла не та
бук	бук
берёза	бе рё за
широкий	ши ро кий
разделительный	раз де ли тель ный
русалка	ру сал ка
охота	о хо та
лещ	лещ
окунь	о кунь
великий	ве ли кий
саксофон	сак со фон
граф	граф
неличность	не лич ность
речекряк	ре че кряк
толстый	тол стый
молодчина	мо лод чи на
плоский	плос кий
длинный	длин ный
канал	ка нал
склянка	склян ка
ложь	ложь
признание	при зна ни е
зуб	зуб
слеза	сле за
семя	се мя
смысл	смысл
хороший	хо ро ший
незабудка	не за буд ка
президент	пре зи дент
щука	щу ка
подлещик	под ле щик
грех	грех
школа	шко ла
черепаха	че ре па ха
биолог	би о лог
ботаник	бо та ник
слог	слог
пчела	пче ла
губа	гу ба
доля	до ля
гастарбайтер	гаст ар бай тер
тень	тень
юс	юс
подорожник	по до рож ник
крот	крот
узкий	уз кий
категория	ка те го ри я
неодушевлённый	не о ду шев лён ный
прилагательное	при ла га тель но е
спряжение	спря же ни е
кора	ко ра
крестьянин	кре стья нин
тайфун	тай фун
ураган	у ра ган
светлячок	свет ля чок
ласточка	лас точ ка
колено	ко ле но
число	чис ло
ата	 ата
урман	ур ман
внутри	вну три
потом	по том
куб	куб
подсолнух	под сол нух
хамство	хам ство
верёвка	ве рёв ка
кость	кость
жир	жир
обувь	о бувь
мороз	мо роз
плыть	плыть
лодка	лод ка
год	год
нефрит	не фрит
наука	на у ка
ананас	а на нас
кровать	кро вать
гадюка	га дю ка
наводнение	на вод не ни е
держава	дер жа ва
бутерброд	бу тер брод
голубой	го лу бой
поезд	по езд
полковник	пол ков ник
инфантильность	ин фан тиль ность
рог	рог
валторна	вал тор на
перо	пе ро
ноготь	но готь
стопа	сто па
бровь	бровь
ресница	рес ни ца
одеколон	о де ко лон
борода	бо ро да
живот	жи вот
товар	то вар
столовая	сто ло ва я
хак	хак
весы	ве сы
конверт	кон верт
письмо	пись мо
антракт	ан тракт
весло	вес ло
игра	иг ра
хоккей	хок кей
баскетбол	бас кет бол
тигр	тигр
леопард	ле о пард
овца	ов ца
кот	кот
фрикаделистый	фри ка де ли стый
контент	кон тент
ник	ник
аккорд	ак корд
аксессуар	ак сес су ар
акупунктура	а ку пунк ту ра
акционер	ак ци о нер
алкоголь	ал ко голь
луидор	лу и дор
альбатрос	аль бат рос
альт	альт
дантист	дан тист
шарманка	шар ман ка
органиструм	ор га нист рум
камень	ка мень
стул	стул
фаянс	фа янс
поползень	по пол зень
запятая	за пя та я
точка	точ ка
тире	ти ре
двоеточие	дво е то чи е
кавычка	ка выч ка
ладонь	ла донь
крыло	кры ло
кишка	киш ка
спина	спи на
плевать	пле вать
вертухай	вер ту хай
победа	по бе да
подкаблучник	под каб луч ник
сирота	си ро та
энергия	э нер ги я
заработок	за ра бо ток
появляться	по яв лять ся
спасибо	спа си бо
драндулет	дран ду лет
хищник	хищ ник
пантера	пан те ра
добрый	доб рый
хищница	хищ ни ца
не	не
рвать	рвать
продавец	про да вец
дышать	ды шать
нюхать	ню хать
ужинать	у жи нать
жевать	же вать
сжевать	сже вать
причастие	при ча сти е
согнуть	со гнуть
согнуться	со гнуть ся
гнуться	гнуть ся
слышать	слы шать
апподжиатура	ап под жи а ту ра
мелизм	ме лизм
тянуть	тя нуть
волосы	во ло сы
лежать	ле жать
Австрия	 Австрия
Германия	Гер ма ни я
хер	хер
жёлтый	жёл тый
землетрясение	зем ле тря се ни е
пидарас	пи да рас
француз	фран цуз
копать	ко пать
резать	ре зать
инкапсуляция	ин кап су ля ци я
блин	блин
конус	ко нус
забава	за ба ва
контроль	кон троль
содержать	со дер жать
приходить	при хо дить
множить	мно жить
умножить	у мно жить
уменьшать	у мень шать
соль	соль
закон	за кон
вытирать	вы ти рать
считать	счи тать
подстрекать	под стре кать
разделить	раз де лить
качка	кач ка
охломон	ох ло мон
уезд	у езд
абдикация	аб ди ка ци я
номинатив	но ми на тив
датив	да тив
генитив	ге ни тив
аккузатив	ак ку за тив
царапать	ца ра пать
пыль	пыль
газ	газ
огонь	о гонь
путь	путь
туман	ту ман
жидкость	жид кость
брюки	брю ки
зола	зо ла
пламя	пла мя
коллега	кол ле га
промокашка	про мо каш ка
мощный	мощ ный
голос	го лос
ханжа	хан жа
тёплый	тёп лый
тута	ту та
злой	злой
гнилой	гни лой
мокрый	мок рый
сухой	су хой
правильный	пра виль ный
пихать	пи хать
замёрзнуть	за мёрз нуть
слово	сло во
холодный	хо лод ный
прямой	пря мой
гладкий	глад кий
далёкий	да лё кий
Аргентина	 Аргентина 
Бразилия	Бра зи ли я
Чили	Чи ли
груша	гру ша
Венгрия	Вен гри я
дальний	даль ний
обычный	о быч ный
нормальный	нор маль ный
деятель	де я тель
руководитель	ру ко во ди тель
глава	гла ва
одушевлённый	о ду шев лён ный
чудный	чуд ный
связывать	свя зы вать
ненависть	не на висть
страх	страх
старик	ста рик
существо	су ще ство
скрипка	скрип ка
виолончель	ви о лон чель
контрабас	кон тра бас
гусли	гус ли
гитара	ги та ра
домра	дом ра
балалайка	ба ла лай ка
тар	тар
мандолина	ман до ли на
рояль	ро яль
создание	со зда ни е
фортепиано	фор те пи а но
кольнуть	коль нуть
автор	ав тор
партия	пар ти я
ширина	ши ри на
смешной	смеш ной
левый	ле вый
герцогиня	гер цо ги ня
вибрафон	виб ра фон
маримба	ма рим ба
ксилофон	кси ло фон
литавры	ли тав ры
гобой	го бой
фагот	фа гот
флейта	флей та
кларнет	клар нет
зазаки	за за ки
клошар	кло шар
цунами	цу на ми
фамилия	фа ми ли я
ведро	вед ро
весело	ве се ло
шагать	ша гать
по	по
простор	про стор
конечно	ко неч но
лучше	луч ше
хор	хор
заря	за ря
полоска	по лос ка
берёзка	бе рёз ка
словечко	сло веч ко
песенка	пе сен ка
перепёлка	пе ре пёл ка
иголка	и гол ка
тропинка	тро пин ка
выбрать	вы брать
надобно	на до бно
дождинка	дож дин ка
усталость	у ста лость
забывать	за бы вать
чад	чад
стучать	сту чать
покой	по кой
погоня	по го ня
пуля	пу ля
наган	на ган
сен	сен
месть	месть
чайка	чай ка
страус	стра ус
канарейка	ка на рей ка
экономика	э ко но ми ка
кукурузник	ку ку руз ник
судьба	судь ба
фашизм	фа шизм
нацизм	на цизм
цветной	цвет ной
плашка	плаш ка
посещать	по се щать
кур	кур
зольность	золь ность
сказать	ска зать
лизать	ли зать
носорог	но со рог
прибор	при бор
охотиться	о хо тить ся
петь	петь
течь	течь
печь	печь
апофатия	а по фа ти я
авиация	а ви а ци я
пилот	пи лот
аппарат	ап па рат
состояние	со сто я ни е
веер	ве ер
пиздеть	пиз деть
Сергей	Сер гей
текст	текст
высота	вы со та
соображать	со об ра жать
слива	сли ва
мыслитель	мыс ли тель
механизм	ме ха низм
автохтонный	ав то хтон ный
боке	бо ке
тут	тут
организм	ор га низм
структура	струк ту ра
устройство	у строй ство
единство	е дин ство
муссон	мус сон
транспорт	транс порт
остаток	о ста ток
полотно	по лот но
ткань	ткань
оскорблять	о скорб лять
пассажир	пас са жир
деизм	де изм
пандеизм	пан де изм
материя	ма те ри я
субстанция	суб стан ци я
излишек	из ли шек
материал	ма те ри ал
дорогой	до ро гой
ценный	цен ный
шакал	ша кал
лягушка	ля гуш ка
апофеоз	а по фе оз
изумруд	и зум руд
сапфир	сап фир
млекопитающее	мле ко пи та ю ще е
драгоценный	дра го цен ный
алмаз	ал маз
относительный	от но си тель ный
птичка	птич ка
кошачий	ко ша чий
место	ме сто
стрела	стре ла
стрелка	стрел ка
арбалет	ар ба лет
лук	лук
уменьшительно-ласкательный	у мень ши тель но- лас ка тель ный
грызун	гры зун
сурок	су рок
удлинитель	у дли ни тель
розетка	ро зет ка
штепсель	штеп сель
болт	болт
кораблекрушение	ко раб ле кру ше ни е
кусок	ку сок
вред	вред
лиса	ли са
тритий	три тий
немка	нем ка
несколько	не сколь ко
нельзя	не льзя
куст	куст
цериевый	це ри е вый
слямзить	слям зить
сортир	сор тир
бедный	бед ный
скудный	скуд ный
ножны	нож ны
очешник	о чеш ник
полупроводник	по лу про вод ник
до	до
ре	ре
ми	ми
ля	ля
си	си
гусь	гусь
очкарик	оч ка рик
открытка	от крыт ка
пролежень	про ле жень
беспорядок	бес по ря док
кухня	кух ня
момент	мо мент
до-бемоль	до- бе моль
ре-бемоль	ре- бе моль
ми-бемоль	ми- бе моль
фа-бемоль	фа- бе моль
соль-бемоль	соль- бе моль
си-бемоль	си- бе моль
удар	у дар
ударник	у дар ник
гайка	гай ка
окоп	о коп
грамм	грамм
лепесток	ле пес ток
лепет	ле пет
трепет	тре пет
яма	я ма
аденозинтрифосфат	а де но зин три фос фат
трутень	тру тень
щекотать	ще ко тать
песец	пе сец
холмистый	хол мис тый
отсутствие	от сут стви е
рельефный	ре льеф ный
горох	го рох
звук	звук
молодой	мо ло дой
множество	мно же ство
количество	ко ли че ство
сказка	сказ ка
средство	сред ство
приёмная	при ём на я
праща	пра ща
рогатка	ро гат ка
шлюз	шлюз
при	при
тембр	тембр
графин	 графин
графинчик	гра фин чик
очерк	о черк
очечник	о чеч ник
Черногория	Чер но го ри я
трансляция	тран сля ци я
абитуриент	а би ту ри ент
нажимать	на жи мать
делаться	де лать ся
рисовать	ри со вать
танцевать	тан це вать
гнуть	гнуть
гибнуть	гиб нуть
смолить	смо лить
угасание	у га са ни е
загрязнить	за гряз нить
динамит	ди на мит
половина	по ло ви на
